customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1680-VDCWW,Male,Not SC,Has A Partner,No Dependents,12,Provided Phone Service,Single Line,No Internet Service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No Paperless Billing,Bank transfer (automatic),19.8,202.25,Not Churned
1066-JKSGK,Male,Not SC,No Partner,No Dependents,1,Provided Phone Service,Single Line,No Internet Service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No Paperless Billing,Mailed check,20.15,20.15,Churned
3638-WEABW,Female,Not SC,Has A Partner,No Dependents,58,Provided Phone Service,Has Multiple Lines,DSL,No Online Security,Has Online Backup,No Device Protection,Provided Tech Support,No Streaming TV,No Streaming Movies,Two year,Has Paperless Billing,Credit card (automatic),59.9,3505.1,Not Churned
6322-HRPFA,Male,Not SC,Has A Partner,Has Dependents,49,Provided Phone Service,Single Line,DSL,Has Online Security,Has Online Backup,No Device Protection,Provided Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,No Paperless Billing,Credit card (automatic),59.6,2970.3,Not Churned
6865-JZNKO,Female,Not SC,No Partner,No Dependents,30,Provided Phone Service,Single Line,DSL,Has Online Security,Has Online Backup,No Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,Has Paperless Billing,Bank transfer (automatic),55.3,1530.6,Not Churned
6467-CHFZW,Male,Not SC,Has A Partner,Has Dependents,47,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,Has Online Backup,No Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,99.35,4749.15,Churned
8665-UTDHZ,Male,Not SC,Has A Partner,Has Dependents,1,No Phone Service,No phone service,DSL,No Online Security,Has Online Backup,No Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,No Paperless Billing,Electronic check,30.2,30.2,Churned
5248-YGIJN,Male,Not SC,Has A Partner,No Dependents,72,Provided Phone Service,Has Multiple Lines,DSL,Has Online Security,Has Online Backup,Has Device Protection,Provided Tech Support,With Streaming TV,With Streaming Movies,Two year,Has Paperless Billing,Credit card (automatic),90.25,6369.45,Not Churned
8773-HHUOZ,Female,Not SC,No Partner,Has Dependents,17,Provided Phone Service,Single Line,DSL,No Online Security,No Online Backup,No Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Mailed check,64.7,1093.1,Churned
3841-NFECX,Female,SC,Has A Partner,No Dependents,71,Provided Phone Service,Has Multiple Lines,Fiber optic,Has Online Security,Has Online Backup,Has Device Protection,Provided Tech Support,No Streaming TV,No Streaming Movies,Two year,Has Paperless Billing,Credit card (automatic),96.35,6766.95,Not Churned
4929-XIHVW,Male,SC,Has A Partner,No Dependents,2,Provided Phone Service,Single Line,Fiber optic,No Online Security,No Online Backup,Has Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Credit card (automatic),95.5,181.65,Not Churned
6827-IEAUQ,Female,Not SC,Has A Partner,Has Dependents,27,Provided Phone Service,Single Line,DSL,Has Online Security,Has Online Backup,Has Device Protection,Provided Tech Support,No Streaming TV,No Streaming Movies,One year,No Paperless Billing,Mailed check,66.15,1874.45,Not Churned
7310-EGVHZ,Male,Not SC,No Partner,No Dependents,1,Provided Phone Service,Single Line,No Internet Service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No Paperless Billing,Bank transfer (automatic),20.2,20.2,Not Churned
3413-BMNZE,Male,SC,No Partner,No Dependents,1,Provided Phone Service,Single Line,DSL,No Online Security,No Online Backup,No Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,No Paperless Billing,Bank transfer (automatic),45.25,45.25,Not Churned
6234-RAAPL,Female,Not SC,Has A Partner,Has Dependents,72,Provided Phone Service,Has Multiple Lines,Fiber optic,Has Online Security,Has Online Backup,No Device Protection,Provided Tech Support,With Streaming TV,No Streaming Movies,Two year,No Paperless Billing,Bank transfer (automatic),99.9,7251.7,Not Churned
6047-YHPVI,Male,Not SC,No Partner,No Dependents,5,Provided Phone Service,Single Line,Fiber optic,No Online Security,No Online Backup,No Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,69.7,316.9,Churned
6572-ADKRS,Female,Not SC,No Partner,No Dependents,46,Provided Phone Service,Single Line,Fiber optic,No Online Security,No Online Backup,Has Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,Has Paperless Billing,Credit card (automatic),74.8,3548.3,Not Churned
5380-WJKOV,Male,Not SC,No Partner,No Dependents,34,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,Has Online Backup,Has Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,106.35,3549.25,Churned
8168-UQWWF,Female,Not SC,No Partner,No Dependents,11,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,No Online Backup,Has Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Bank transfer (automatic),97.85,1105.4,Churned
8865-TNMNX,Male,Not SC,Has A Partner,Has Dependents,10,Provided Phone Service,Single Line,DSL,No Online Security,Has Online Backup,No Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,One year,No Paperless Billing,Mailed check,49.55,475.7,Not Churned
9489-DEDVP,Female,Not SC,Has A Partner,Has Dependents,70,Provided Phone Service,Has Multiple Lines,DSL,Has Online Security,Has Online Backup,No Device Protection,No Tech Support,With Streaming TV,No Streaming Movies,Two year,Has Paperless Billing,Credit card (automatic),69.2,4872.35,Not Churned
9867-JCZSP,Female,Not SC,Has A Partner,Has Dependents,17,Provided Phone Service,Single Line,No Internet Service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No Paperless Billing,Mailed check,20.75,418.25,Not Churned
4671-VJLCL,Female,Not SC,No Partner,No Dependents,63,Provided Phone Service,Has Multiple Lines,DSL,Has Online Security,Has Online Backup,Has Device Protection,Provided Tech Support,With Streaming TV,No Streaming Movies,Two year,Has Paperless Billing,Credit card (automatic),79.85,4861.45,Not Churned
4080-IIARD,Female,Not SC,Has A Partner,No Dependents,13,Provided Phone Service,Has Multiple Lines,DSL,Has Online Security,Has Online Backup,No Device Protection,Provided Tech Support,With Streaming TV,No Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,76.2,981.45,Not Churned
3714-NTNFO,Female,Not SC,No Partner,No Dependents,49,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,No Online Backup,No Device Protection,No Tech Support,No Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,84.5,3906.7,Not Churned
5948-UJZLF,Male,Not SC,No Partner,No Dependents,2,Provided Phone Service,Single Line,DSL,No Online Security,Has Online Backup,No Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,No Paperless Billing,Mailed check,49.25,97,Not Churned
7760-OYPDY,Female,Not SC,No Partner,No Dependents,2,Provided Phone Service,Single Line,Fiber optic,No Online Security,No Online Backup,No Device Protection,No Tech Support,With Streaming TV,No Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,80.65,144.15,Churned
7639-LIAYI,Male,Not SC,No Partner,No Dependents,52,Provided Phone Service,Has Multiple Lines,DSL,Has Online Security,No Online Backup,No Device Protection,Provided Tech Support,With Streaming TV,With Streaming Movies,Two year,Has Paperless Billing,Credit card (automatic),79.75,4217.8,Not Churned
2954-PIBKO,Female,Not SC,Has A Partner,Has Dependents,69,Provided Phone Service,Has Multiple Lines,DSL,Has Online Security,No Online Backup,Has Device Protection,Provided Tech Support,No Streaming TV,No Streaming Movies,Two year,Has Paperless Billing,Credit card (automatic),64.15,4254.1,Not Churned
8012-SOUDQ,Female,SC,No Partner,No Dependents,43,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,Has Online Backup,No Device Protection,No Tech Support,With Streaming TV,No Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,90.25,3838.75,Not Churned
9420-LOJKX,Female,Not SC,No Partner,No Dependents,15,Provided Phone Service,Single Line,Fiber optic,Has Online Security,Has Online Backup,No Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Credit card (automatic),99.1,1426.4,Churned
6575-SUVOI,Female,SC,Has A Partner,No Dependents,25,Provided Phone Service,Has Multiple Lines,DSL,Has Online Security,No Online Backup,No Device Protection,Provided Tech Support,With Streaming TV,No Streaming Movies,Month-to-month,Has Paperless Billing,Credit card (automatic),69.5,1752.65,Not Churned
7495-OOKFY,Female,SC,Has A Partner,No Dependents,8,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,Has Online Backup,No Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,Has Paperless Billing,Credit card (automatic),80.65,633.3,Churned
4667-QONEA,Female,SC,Has A Partner,Has Dependents,60,Provided Phone Service,Single Line,DSL,Has Online Security,Has Online Backup,Has Device Protection,Provided Tech Support,No Streaming TV,With Streaming Movies,One year,Has Paperless Billing,Credit card (automatic),74.85,4456.35,Not Churned
1658-BYGOY,Male,SC,No Partner,No Dependents,18,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,No Online Backup,No Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,95.45,1752.55,Churned
8769-KKTPH,Female,Not SC,Has A Partner,Has Dependents,63,Provided Phone Service,Has Multiple Lines,Fiber optic,Has Online Security,No Online Backup,No Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,One year,Has Paperless Billing,Credit card (automatic),99.65,6311.2,Not Churned
5067-XJQFU,Male,SC,Has A Partner,Has Dependents,66,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,Has Online Backup,Has Device Protection,Provided Tech Support,With Streaming TV,With Streaming Movies,One year,Has Paperless Billing,Electronic check,108.45,7076.35,Not Churned
3957-SQXML,Female,Not SC,Has A Partner,Has Dependents,34,Provided Phone Service,Has Multiple Lines,No Internet Service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No Paperless Billing,Credit card (automatic),24.95,894.3,Not Churned
5954-BDFSG,Female,Not SC,No Partner,No Dependents,72,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,No Online Backup,Has Device Protection,Provided Tech Support,With Streaming TV,With Streaming Movies,Two year,Has Paperless Billing,Credit card (automatic),107.5,7853.7,Not Churned
0434-CSFON,Female,Not SC,Has A Partner,No Dependents,47,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,No Online Backup,Has Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,100.5,4707.1,Not Churned
1215-FIGMP,Male,Not SC,No Partner,No Dependents,60,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,Has Online Backup,No Device Protection,No Tech Support,With Streaming TV,No Streaming Movies,Month-to-month,Has Paperless Billing,Bank transfer (automatic),89.9,5450.7,Not Churned
0526-SXDJP,Male,Not SC,Has A Partner,No Dependents,72,No Phone Service,No phone service,DSL,Has Online Security,Has Online Backup,Has Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,Two year,No Paperless Billing,Bank transfer (automatic),42.1,2962,Not Churned
0557-ASKVU,Female,Not SC,Has A Partner,Has Dependents,18,Provided Phone Service,Single Line,DSL,No Online Security,No Online Backup,Has Device Protection,Provided Tech Support,No Streaming TV,No Streaming Movies,One year,Has Paperless Billing,Credit card (automatic),54.4,957.1,Not Churned
5698-BQJOH,Female,Not SC,No Partner,No Dependents,9,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,No Online Backup,No Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,No Paperless Billing,Electronic check,94.4,857.25,Churned
5122-CYFXA,Female,Not SC,No Partner,No Dependents,3,Provided Phone Service,Single Line,DSL,No Online Security,Has Online Backup,No Device Protection,Provided Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,75.3,244.1,Not Churned
8627-ZYGSZ,Male,Not SC,Has A Partner,No Dependents,47,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,Has Online Backup,No Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,One year,Has Paperless Billing,Electronic check,78.9,3650.35,Not Churned
3410-YOQBQ,Female,Not SC,No Partner,No Dependents,31,Provided Phone Service,Single Line,DSL,No Online Security,Has Online Backup,Has Device Protection,Provided Tech Support,With Streaming TV,With Streaming Movies,Two year,No Paperless Billing,Mailed check,79.2,2497.2,Not Churned
3170-NMYVV,Female,Not SC,Has A Partner,Has Dependents,50,Provided Phone Service,Single Line,No Internet Service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No Paperless Billing,Bank transfer (automatic),20.15,930.9,Not Churned
7410-OIEDU,Male,Not SC,No Partner,No Dependents,10,Provided Phone Service,Single Line,Fiber optic,Has Online Security,No Online Backup,Has Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,Has Paperless Billing,Mailed check,79.85,887.35,Not Churned
2273-QCKXA,Male,Not SC,No Partner,No Dependents,1,Provided Phone Service,Single Line,DSL,No Online Security,No Online Backup,No Device Protection,Provided Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,No Paperless Billing,Mailed check,49.05,49.05,Not Churned
0731-EBJQB,Female,Not SC,Has A Partner,Has Dependents,52,Provided Phone Service,Single Line,No Internet Service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Has Paperless Billing,Electronic check,20.4,1090.65,Not Churned
1891-QRQSA,Male,SC,Has A Partner,Has Dependents,64,Provided Phone Service,Has Multiple Lines,Fiber optic,Has Online Security,No Online Backup,Has Device Protection,Provided Tech Support,With Streaming TV,With Streaming Movies,Two year,Has Paperless Billing,Bank transfer (automatic),111.6,7099,Not Churned
8028-PNXHQ,Male,Not SC,Has A Partner,Has Dependents,62,Provided Phone Service,Has Multiple Lines,No Internet Service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Has Paperless Billing,Bank transfer (automatic),24.25,1424.6,Not Churned
5630-AHZIL,Female,Not SC,No Partner,Has Dependents,3,Provided Phone Service,Single Line,DSL,Has Online Security,No Online Backup,No Device Protection,Provided Tech Support,No Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Bank transfer (automatic),64.5,177.4,Not Churned
2673-CXQEU,Female,SC,No Partner,No Dependents,56,Provided Phone Service,Has Multiple Lines,Fiber optic,Has Online Security,Has Online Backup,Has Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,One year,No Paperless Billing,Electronic check,110.5,6139.5,Not Churned
6416-JNVRK,Female,Not SC,No Partner,No Dependents,46,Provided Phone Service,Single Line,DSL,No Online Security,No Online Backup,No Device Protection,No Tech Support,No Streaming TV,With Streaming Movies,One year,No Paperless Billing,Credit card (automatic),55.65,2688.85,Not Churned
5590-ZSKRV,Female,Not SC,Has A Partner,Has Dependents,8,Provided Phone Service,Single Line,DSL,Has Online Security,Has Online Backup,No Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,No Paperless Billing,Mailed check,54.65,482.25,Not Churned
0191-ZHSKZ,Male,SC,No Partner,No Dependents,30,Provided Phone Service,Single Line,DSL,Has Online Security,Has Online Backup,No Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,74.75,2111.3,Not Churned
3887-PBQAO,Female,Not SC,Has A Partner,Has Dependents,45,Provided Phone Service,Has Multiple Lines,No Internet Service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Has Paperless Billing,Credit card (automatic),25.9,1216.6,Not Churned
5919-TMRGD,Female,Not SC,No Partner,Has Dependents,1,Provided Phone Service,Single Line,Fiber optic,No Online Security,No Online Backup,No Device Protection,No Tech Support,With Streaming TV,No Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,79.35,79.35,Churned
8108-UXRQN,Female,Not SC,Has A Partner,Has Dependents,11,No Phone Service,No phone service,DSL,Has Online Security,No Online Backup,No Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,No Paperless Billing,Electronic check,50.55,565.35,Not Churned
9191-MYQKX,Female,Not SC,Has A Partner,No Dependents,7,Provided Phone Service,Single Line,Fiber optic,No Online Security,No Online Backup,Has Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,Has Paperless Billing,Bank transfer (automatic),75.15,496.9,Churned
9919-YLNNG,Female,Not SC,No Partner,No Dependents,42,Provided Phone Service,Single Line,Fiber optic,No Online Security,Has Online Backup,Has Device Protection,Provided Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Bank transfer (automatic),103.8,4327.5,Not Churned
0318-ZOPWS,Female,Not SC,Has A Partner,No Dependents,49,Provided Phone Service,Single Line,No Internet Service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Has Paperless Billing,Bank transfer (automatic),20.15,973.35,Not Churned
4445-ZJNMU,Male,Not SC,No Partner,No Dependents,9,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,Has Online Backup,No Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Credit card (automatic),99.3,918.75,Not Churned
4808-YNLEU,Female,Not SC,Has A Partner,No Dependents,35,Provided Phone Service,Single Line,DSL,Has Online Security,No Online Backup,No Device Protection,No Tech Support,With Streaming TV,No Streaming Movies,One year,Has Paperless Billing,Bank transfer (automatic),62.15,2215.45,Not Churned
1862-QRWPE,Female,Not SC,Has A Partner,Has Dependents,48,Provided Phone Service,Single Line,No Internet Service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No Paperless Billing,Bank transfer (automatic),20.65,1057,Not Churned
2796-NNUFI,Female,Not SC,Has A Partner,Has Dependents,46,Provided Phone Service,Single Line,No Internet Service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Has Paperless Billing,Mailed check,19.95,927.1,Not Churned
3016-KSVCP,Male,Not SC,Has A Partner,No Dependents,29,No Phone Service,No phone service,DSL,No Online Security,No Online Backup,No Device Protection,No Tech Support,With Streaming TV,No Streaming Movies,Month-to-month,No Paperless Billing,Mailed check,33.75,1009.25,Not Churned
4767-HZZHQ,Male,Not SC,Has A Partner,Has Dependents,30,Provided Phone Service,Single Line,Fiber optic,No Online Security,Has Online Backup,Has Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,No Paperless Billing,Bank transfer (automatic),82.05,2570.2,Not Churned
2424-WVHPL,Male,SC,No Partner,No Dependents,1,Provided Phone Service,Single Line,Fiber optic,No Online Security,No Online Backup,No Device Protection,Provided Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,No Paperless Billing,Electronic check,74.7,74.7,Not Churned
7233-PAHHL,Male,Not SC,Has A Partner,Has Dependents,66,Provided Phone Service,Has Multiple Lines,DSL,Has Online Security,No Online Backup,Has Device Protection,Provided Tech Support,With Streaming TV,With Streaming Movies,Two year,Has Paperless Billing,Mailed check,84,5714.25,Not Churned
6067-NGCEU,Female,Not SC,No Partner,No Dependents,65,Provided Phone Service,Has Multiple Lines,Fiber optic,Has Online Security,Has Online Backup,Has Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Credit card (automatic),111.05,7107,Not Churned
9848-JQJTX,Male,Not SC,No Partner,No Dependents,72,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,Has Online Backup,Has Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,Two year,Has Paperless Billing,Bank transfer (automatic),100.9,7459.05,Not Churned
8637-XJIVR,Female,Not SC,No Partner,No Dependents,12,Provided Phone Service,Has Multiple Lines,Fiber optic,Has Online Security,No Online Backup,No Device Protection,No Tech Support,No Streaming TV,No Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,78.95,927.35,Churned
9803-FTJCG,Male,Not SC,Has A Partner,Has Dependents,71,Provided Phone Service,Has Multiple Lines,DSL,Has Online Security,Has Online Backup,No Device Protection,Provided Tech Support,No Streaming TV,No Streaming Movies,One year,Has Paperless Billing,Credit card (automatic),66.85,4748.7,Not Churned
0278-YXOOG,Male,Not SC,No Partner,No Dependents,5,Provided Phone Service,Single Line,No Internet Service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No Paperless Billing,Mailed check,21.05,113.85,Churned
3212-KXOCR,Male,Not SC,No Partner,No Dependents,52,Provided Phone Service,Single Line,No Internet Service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No Paperless Billing,Bank transfer (automatic),21,1107.2,Not Churned
4598-XLKNJ,Female,SC,Has A Partner,No Dependents,25,Provided Phone Service,Single Line,Fiber optic,No Online Security,Has Online Backup,Has Device Protection,No Tech Support,With Streaming TV,With Streaming Movies,Month-to-month,Has Paperless Billing,Electronic check,98.5,2514.5,Churned
6380-ARCEH,Male,Not SC,No Partner,No Dependents,1,Provided Phone Service,Single Line,No Internet Service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No Paperless Billing,Mailed check,20.2,20.2,Not Churned
3679-XASPY,Female,Not SC,Has A Partner,Has Dependents,1,Provided Phone Service,Single Line,No Internet Service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No Paperless Billing,Electronic check,19.45,19.45,Not Churned
7123-WQUHX,Male,Not SC,No Partner,No Dependents,38,Provided Phone Service,Has Multiple Lines,Fiber optic,No Online Security,No Online Backup,Has Device Protection,Provided Tech Support,With Streaming TV,No Streaming Movies,One year,No Paperless Billing,Bank transfer (automatic),95,3605.6,Not Churned
